id,word,definition,khania,knossos,midea,mycenae,pylos,thebes,tiryns
1,*18-to-no,Chadwick & Ventris 1973: anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,0,0,0,0,0
2,*22-ja-ro,Chadwick & Ventris 1973: meaning obscure; anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,1,0,0,0,0
3,*22-ri-ta-ro,Chadwick & Ventris 1973: anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,1,0,0,0,0
4,*34-ke-te-si,Chadwick & Ventris 1973: anthroponym or theonym receiving offerings dative plural Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,0,0,1,0,0
5,*34-zo,Chadwick & Ventris 1973: anthroponym KN Da: tu-ni-ja KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,1,0,0,0,0
6,*47-da,McArthur 1993: plausible toponym Witczak 1992: toponym cf. Ἁλαί Ἀλαι (where *47 = a4) ""Myc. -d- and Classical -λ- is irregular though it is attested elsewhere as is da-pu2-ri-to-jo"" Chadwick & Ventris 1973: toponym? McArthur 1993 Chadwick & Ventris 1973: allative of *47-da OLE: KN Fp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 ""The Phonetic Value of the Linear B Sign *47"",0,1,0,0,0,0
7,*47-ku-to-de,Witczak 1992: toponym allative cf. Ἄκυτος (where *47 = a4) a small island near Crete; its sister island Καῦδα has been proposed for ka-u-da on KN Fs 21. McArthur 1993 Chadwick & Ventris 1973: toponym allative OLE: KN Fp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 ""The Phonetic Value of the Linear B Sign *47"",0,1,0,0,0,0
8,*47-so-de,Witczak 1992: toponym allative cf. Ἄσος (where *47 = a4) on Crete which has a sanctuary of Zeus Asios McArthur 1993 Chadwick & Ventris 1973: toponym allative KN Fh: e-ra-deallative KN Fh: OLE Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location” Witczak Krzysztof Tomasz 1992 Kadmos 31 ""The Phonetic Value of the Linear B Sign *47"",0,1,0,0,0,0
9,*47-ti-jo,Chadwick & Ventris 1973: anthroponym KN K: a-ro-we me-wo-ni-joanthroponym KN V: a-nu-moanthroponym ja-ma-ra [[po-mi-ni-jo]] ta-za-roanthroponym [[wa-du-na]] Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,1,0,0,0,0
10,*49-wo,Chadwick & Ventris 1973: anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek,0,1,0,0,0,0
